Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_MRP_Category,Item_Weight_Category
FDR58,6.675,Low Fat,0.041886576,Snack Foods,92.1462,OUT013,1987,High,Tier 3,Supermarket Type1,1203.1006,Rẻ,Nhẹ
FDR32,6.78,Regular,0.0,Fruits and Vegetables,227.4694,OUT046,1997,Small,Tier 1,Supermarket Type1,3197.1716,Đắt,Nhẹ
FDC03,8.575,Regular,0.072252888,Dairy,196.5794,OUT017,2007,,Tier 2,Supermarket Type1,5267.1438,Trung bình,Nhẹ
DRE49,20.75,Low Fat,0.021370201,Soft Drinks,153.0024,OUT017,2007,,Tier 2,Supermarket Type1,2277.036,Trung bình,Nặng
FDS35,9.3,Low Fat,0.111127966,Breads,63.1826,OUT013,1987,High,Tier 3,Supermarket Type1,2002.0606,Rẻ,Nhẹ
FDH56,9.8,Regular,0.063946629,Fruits and Vegetables,116.6492,OUT045,2002,,Tier 2,Supermarket Type1,2316.984,Trung bình,Nhẹ
DRJ11,9.5,Low Fat,0.085020342,Hard Drinks,188.7872,OUT013,1987,High,Tier 3,Supermarket Type1,1701.7848,Trung bình,Nhẹ
FDG26,18.85,Low Fat,0.042891098,Canned,257.633,OUT017,2007,,Tier 2,Supermarket Type1,5382.993,Đắt,Trung bình
FDF05,17.5,Low Fat,0.02687089,Frozen Foods,264.491,OUT046,1997,Small,Tier 1,Supermarket Type1,3681.874,Đắt,Trung bình
FDY43,14.85,Low Fat,0.098803088,Fruits and Vegetables,169.7474,OUT018,2009,Medium,Tier 3,Supermarket Type2,673.7896,Trung bình,Trung bình
DRI01,7.97,Low Fat,0.057667173,Soft Drinks,172.1422,OUT010,1998,,Tier 3,Grocery Store,517.3266,Trung bình,Nhẹ
FDX23,6.445,Low Fat,0.049697923,Baking Goods,95.0436,OUT010,1998,,Tier 3,Grocery Store,94.5436,Rẻ,Nhẹ
FDA52,,Regular,0.127800388,Frozen Foods,177.037,OUT027,1985,Medium,Tier 3,Supermarket Type3,4587.362,Trung bình,
FDJ36,14.5,Regular,0.128235818,Baking Goods,104.1332,OUT035,2004,Small,Tier 2,Supermarket Type1,205.0664,Trung bình,Trung bình
NCN43,,Low Fat,0.006727008,Others,125.173,OUT027,1985,Medium,Tier 3,Supermarket Type3,3202.498,Trung bình,
FDR60,,Low Fat,0.129783577,Baking Goods,78.2328,OUT027,1985,Medium,Tier 3,Supermarket Type3,1004.0264,Rẻ,
FDE32,,Low Fat,0.048522793,Fruits and Vegetables,39.6506,OUT027,1985,Medium,Tier 3,Supermarket Type3,1024.6662,Rẻ,
FDL04,19.0,Low Fat,0.111902259,Frozen Foods,105.4622,OUT035,2004,Small,Tier 2,Supermarket Type1,1905.5196,Trung bình,Trung bình
FDM38,5.885,Regular,0.092694107,Canned,53.6982,OUT013,1987,High,Tier 3,Supermarket Type1,1525.3478,Rẻ,Nhẹ
FDV15,10.3,LF,0.146172453,Meat,103.3648,OUT046,1997,Small,Tier 1,Supermarket Type1,3219.8088,Trung bình,Trung bình
DRG15,6.13,Low Fat,0.076721393,Dairy,59.4536,OUT035,2004,Small,Tier 2,Supermarket Type1,2021.3688,Rẻ,Nhẹ
FDD35,,Low Fat,0.02573918,Starchy Foods,120.744,OUT027,1985,Medium,Tier 3,Supermarket Type3,3954.852,Trung bình,
FDH32,12.8,Low Fat,0.076214289,Fruits and Vegetables,96.541,OUT045,2002,,Tier 2,Supermarket Type1,1834.279,Rẻ,Trung bình
FDI45,13.1,Low Fat,0.037639672,Fruits and Vegetables,175.6054,OUT049,1999,Medium,Tier 1,Supermarket Type1,1050.6324,Trung bình,Trung bình
FDH53,20.5,Regular,0.032136417,Frozen Foods,83.9592,OUT010,1998,,Tier 3,Grocery Store,165.1184,Rẻ,Nặng
FDZ03,13.65,Regular,0.13187274,Dairy,188.024,OUT010,1998,,Tier 3,Grocery Store,745.696,Trung bình,Trung bình
FDE26,9.3,Low Fat,0.089144149,Canned,144.9786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1011.3502,Trung bình,Nhẹ
FDD57,,Low Fat,0.022291121,Fruits and Vegetables,93.6094,OUT027,1985,Medium,Tier 3,Supermarket Type3,3713.1666,Rẻ,
FDJ10,5.095,Regular,0.129766301,Snack Foods,141.6838,OUT045,2002,,Tier 2,Supermarket Type1,3231.1274,Trung bình,Nhẹ
NCU29,7.685,Low Fat,0.025477448,Health and Hygiene,145.276,OUT046,1997,Small,Tier 1,Supermarket Type1,3515.424,Trung bình,Nhẹ
FDM60,10.8,Regular,0.048218142,Baking Goods,42.2138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346,Rẻ,Trung bình
FDA20,,Low Fat,0.066298469,Fruits and Vegetables,186.824,OUT027,1985,Medium,Tier 3,Supermarket Type3,6338.416,Trung bình,
FDI56,7.325,Low Fat,0.093307668,Fruits and Vegetables,92.7146,OUT013,1987,High,Tier 3,Supermarket Type1,2006.7212,Rẻ,Nhẹ
FDV23,11.0,LF,0.1062679,Breads,123.2046,OUT018,2009,Medium,Tier 3,Supermarket Type2,3237.1196,Trung bình,Trung bình
DRA24,19.35,Regular,0.039920687,Soft Drinks,163.3868,OUT035,2004,Small,Tier 2,Supermarket Type1,3439.5228,Trung bình,Trung bình
DRJ59,11.65,Low Fat,0.01941154,Hard Drinks,40.3164,OUT045,2002,,Tier 2,Supermarket Type1,502.0132,Rẻ,Trung bình
FDY16,,reg,0.16147714,Frozen Foods,186.2266,OUT019,1985,Small,Tier 1,Grocery Store,1106.5596,Trung bình,
DRD37,9.8,Low Fat,0.013869809,Soft Drinks,47.406,OUT045,2002,,Tier 2,Supermarket Type1,978.726,Rẻ,Nhẹ
FDI15,13.8,Low Fat,0.141234932,Dairy,263.7884,OUT013,1987,High,Tier 3,Supermarket Type1,5564.7564,Đắt,Trung bình
DRD37,9.8,Low Fat,0.013898123,Soft Drinks,46.506,OUT018,2009,Medium,Tier 3,Supermarket Type2,372.848,Rẻ,Nhẹ
FDS43,,Low Fat,0.040318693,Fruits and Vegetables,186.224,OUT027,1985,Medium,Tier 3,Supermarket Type3,5033.448,Trung bình,
FDH50,15.0,Regular,0.162348584,Canned,185.9266,OUT017,2007,,Tier 2,Supermarket Type1,4610.665,Trung bình,Trung bình
FDG26,18.85,low fat,0.042736348,Canned,255.933,OUT045,2002,,Tier 2,Supermarket Type1,3844.995,Đắt,Trung bình
FDD21,10.3,Regular,0.0,Fruits and Vegetables,115.7176,OUT017,2007,,Tier 2,Supermarket Type1,1717.764,Trung bình,Trung bình
FDV38,19.25,Low Fat,0.102349519,Dairy,52.7956,OUT017,2007,,Tier 2,Supermarket Type1,928.1252,Rẻ,Trung bình
FDS12,,LF,0.304859104,Baking Goods,125.4362,OUT019,1985,Small,Tier 1,Grocery Store,755.0172,Trung bình,
FDZ59,6.63,Regular,0.104445322,Baking Goods,167.25,OUT018,2009,Medium,Tier 3,Supermarket Type2,1830.95,Trung bình,Nhẹ
FDI10,8.51,reg,0.078339081,Snack Foods,172.9422,OUT013,1987,High,Tier 3,Supermarket Type1,1379.5376,Trung bình,Nhẹ
NCH29,5.51,Low Fat,0.034467286,Health and Hygiene,96.7726,OUT035,2004,Small,Tier 2,Supermarket Type1,2642.5602,Rẻ,Nhẹ
NCQ02,12.6,Low Fat,0.007468056,Household,186.9556,OUT049,1999,Medium,Tier 1,Supermarket Type1,3379.6008,Trung bình,Trung bình
FDT40,5.985,LF,0.095795326,Frozen Foods,128.4678,OUT046,1997,Small,Tier 1,Supermarket Type1,508.6712,Trung bình,Nhẹ
FDH31,12.0,Regular,0.020407296,Meat,99.9042,OUT035,2004,Small,Tier 2,Supermarket Type1,595.2252,Rẻ,Trung bình
FDS19,13.8,Regular,0.064307102,Fruits and Vegetables,77.3012,OUT049,1999,Medium,Tier 1,Supermarket Type1,1593.9252,Rẻ,Trung bình
NCI29,8.6,Low Fat,0.054601779,Health and Hygiene,141.1154,OUT010,1998,,Tier 3,Grocery Store,425.4462,Trung bình,Nhẹ
FDM28,15.7,Low Fat,0.045295529,Frozen Foods,181.366,OUT045,2002,,Tier 2,Supermarket Type1,1977.426,Trung bình,Trung bình
FDY56,16.35,Regular,0.104463896,Fruits and Vegetables,227.1062,OUT010,1998,,Tier 3,Grocery Store,225.7062,Đắt,Trung bình
FDS02,,Regular,0.255394896,Dairy,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,780.3176,Trung bình,
FDX23,6.445,Low Fat,0.029859711,Baking Goods,94.1436,OUT017,2007,,Tier 2,Supermarket Type1,1418.154,Rẻ,Nhẹ
FDY27,6.38,Low Fat,0.032028115,Dairy,178.3344,OUT018,2009,Medium,Tier 3,Supermarket Type2,3211.8192,Trung bình,Nhẹ
DRP35,18.85,Low Fat,0.091051579,Hard Drinks,127.4336,OUT045,2002,,Tier 2,Supermarket Type1,894.8352,Trung bình,Trung bình
NCX42,6.36,Low Fat,0.00599072,Household,163.6526,OUT045,2002,,Tier 2,Supermarket Type1,5262.4832,Trung bình,Nhẹ
NCM29,11.5,LF,0.017642229,Health and Hygiene,131.8626,OUT046,1997,Small,Tier 1,Supermarket Type1,2885.5772,Trung bình,Trung bình
FDT56,,Regular,0.115032648,Fruits and Vegetables,58.0246,OUT027,1985,Medium,Tier 3,Supermarket Type3,2143.2102,Rẻ,
FDG59,15.85,Low Fat,0.043226398,Starchy Foods,37.5164,OUT035,2004,Small,Tier 2,Supermarket Type1,270.3148,Rẻ,Trung bình
NCN07,18.5,Low Fat,0.056816465,Others,132.1284,OUT010,1998,,Tier 3,Grocery Store,263.6568,Trung bình,Trung bình
FDL39,,Regular,0.06302467,Dairy,181.6318,OUT027,1985,Medium,Tier 3,Supermarket Type3,1263.0226,Trung bình,
FDV07,,Low Fat,0.031131455,Fruits and Vegetables,111.0228,OUT027,1985,Medium,Tier 3,Supermarket Type3,3205.1612,Trung bình,
FDW31,,Regular,0.042949109,Fruits and Vegetables,199.5742,OUT027,1985,Medium,Tier 3,Supermarket Type3,3981.484,Trung bình,
FDW39,,Regular,0.064625342,Meat,176.937,OUT019,1985,Small,Tier 1,Grocery Store,176.437,Trung bình,
FDX38,10.5,Regular,0.0481669,Dairy,48.8376,OUT013,1987,High,Tier 3,Supermarket Type1,671.1264,Rẻ,Trung bình
NCH07,13.15,Low Fat,0.092811105,Household,159.7604,OUT049,1999,Medium,Tier 1,Supermarket Type1,4119.9704,Trung bình,Trung bình
FDM22,,Regular,0.073462632,Snack Foods,52.364,OUT019,1985,Small,Tier 1,Grocery Store,53.264,Rẻ,
NCS53,,Low Fat,0.089343433,Health and Hygiene,157.3604,OUT027,1985,Medium,Tier 3,Supermarket Type3,6021.4952,Trung bình,
FDF34,,Regular,0.013951504,Snack Foods,199.9084,OUT027,1985,Medium,Tier 3,Supermarket Type3,5753.8436,Trung bình,
FDQ40,,Regular,0.063079544,Frozen Foods,175.7712,OUT019,1985,Small,Tier 1,Grocery Store,351.5424,Trung bình,
FDB03,17.75,Regular,0.156701315,Dairy,240.7538,OUT013,1987,High,Tier 3,Supermarket Type1,4566.7222,Đắt,Trung bình
NCK05,20.1,Low Fat,0.077439606,Health and Hygiene,60.6536,OUT035,2004,Small,Tier 2,Supermarket Type1,980.0576,Rẻ,Nặng
FDA07,7.55,Regular,0.031007381,Fruits and Vegetables,123.4072,OUT045,2002,,Tier 2,Supermarket Type1,2082.6224,Trung bình,Nhẹ
NCC43,7.39,Low Fat,0.092927148,Household,249.5066,OUT049,1999,Medium,Tier 1,Supermarket Type1,4267.1122,Đắt,Nhẹ
FDF35,15.0,Low Fat,0.153861181,Starchy Foods,108.5938,OUT013,1987,High,Tier 3,Supermarket Type1,1393.5194,Trung bình,Trung bình
FDD09,13.5,Low Fat,0.021583971,Fruits and Vegetables,179.5976,OUT018,2009,Medium,Tier 3,Supermarket Type2,2173.1712,Trung bình,Trung bình
FDH53,20.5,Regular,0.019199733,Frozen Foods,84.3592,OUT046,1997,Small,Tier 1,Supermarket Type1,1816.3024,Rẻ,Nặng
FDW32,18.35,Regular,0.094488071,Fruits and Vegetables,87.1882,OUT045,2002,,Tier 2,Supermarket Type1,515.3292,Rẻ,Trung bình
FDM03,,Low Fat,0.0,Meat,109.1938,OUT027,1985,Medium,Tier 3,Supermarket Type3,2036.6822,Trung bình,
FDF20,12.85,Low Fat,0.033220169,Fruits and Vegetables,196.6768,OUT046,1997,Small,Tier 1,Supermarket Type1,2759.0752,Trung bình,Trung bình
FDZ45,14.1,Low Fat,0.067148407,Snack Foods,200.4084,OUT018,2009,Medium,Tier 3,Supermarket Type2,3968.168,Đắt,Trung bình
NCL18,18.85,Low Fat,0.167444431,Household,194.6136,OUT013,1987,High,Tier 3,Supermarket Type1,1166.4816,Trung bình,Trung bình
FDG53,10.0,Low Fat,0.045848263,Frozen Foods,138.518,OUT035,2004,Small,Tier 2,Supermarket Type1,2237.088,Trung bình,Nhẹ
NCP06,,Low Fat,0.039055756,Household,152.3366,OUT027,1985,Medium,Tier 3,Supermarket Type3,2115.9124,Trung bình,
DRE49,20.75,LF,0.021250002,Soft Drinks,150.5024,OUT046,1997,Small,Tier 1,Supermarket Type1,2580.6408,Trung bình,Nặng
NCK42,,Low Fat,0.013056494,Household,215.9192,OUT027,1985,Medium,Tier 3,Supermarket Type3,7334.4528,Đắt,
FDK02,12.5,Low Fat,0.187841082,Canned,119.244,OUT010,1998,,Tier 3,Grocery Store,119.844,Trung bình,Trung bình
FDR20,20.0,Regular,0.028167478,Fruits and Vegetables,45.5744,OUT049,1999,Medium,Tier 1,Supermarket Type1,452.744,Rẻ,Trung bình
FDX60,,LF,0.080203852,Baking Goods,77.996,OUT027,1985,Medium,Tier 3,Supermarket Type3,2716.464,Rẻ,
FDV39,,Low Fat,0.0,Meat,196.8426,OUT019,1985,Small,Tier 1,Grocery Store,593.2278,Trung bình,
NCW53,,Low Fat,0.030347404,Health and Hygiene,192.5162,OUT027,1985,Medium,Tier 3,Supermarket Type3,3078.6592,Trung bình,
DRD49,9.895,Low Fat,0.168780385,Soft Drinks,236.8564,OUT017,2007,,Tier 2,Supermarket Type1,4767.128,Đắt,Nhẹ
FDT37,14.15,Low Fat,0.03546967,Canned,256.3014,OUT017,2007,,Tier 2,Supermarket Type1,4845.0266,Đắt,Trung bình
FDB11,16.0,Low Fat,0.060942632,Starchy Foods,225.6404,OUT049,1999,Medium,Tier 1,Supermarket Type1,2925.5252,Đắt,Trung bình
FDY39,5.305,Regular,0.047220268,Meat,181.9608,OUT018,2009,Medium,Tier 3,Supermarket Type2,2388.8904,Trung bình,Nhẹ
NCV41,14.35,Low Fat,0.017135155,Health and Hygiene,109.8228,OUT017,2007,,Tier 2,Supermarket Type1,1657.842,Trung bình,Trung bình
NCE19,8.97,Low Fat,0.092937216,Household,54.6956,OUT013,1987,High,Tier 3,Supermarket Type1,764.3384,Rẻ,Nhẹ
FDD44,8.05,Regular,0.07884393,Fruits and Vegetables,257.0646,OUT017,2007,,Tier 2,Supermarket Type1,8760.5964,Đắt,Nhẹ
FDK58,11.35,Regular,0.0,Snack Foods,101.5016,OUT046,1997,Small,Tier 1,Supermarket Type1,202.4032,Trung bình,Trung bình
FDN25,7.895,Regular,0.061163967,Breakfast,59.2588,OUT035,2004,Small,Tier 2,Supermarket Type1,801.6232,Rẻ,Nhẹ
FDE21,,Low Fat,0.0,Fruits and Vegetables,115.3492,OUT027,1985,Medium,Tier 3,Supermarket Type3,3823.0236,Trung bình,
FDL51,20.7,Regular,0.047684831,Dairy,212.5876,OUT018,2009,Medium,Tier 3,Supermarket Type2,1286.3256,Đắt,Nặng
FDK43,9.8,Low Fat,0.026992588,Meat,127.302,OUT017,2007,,Tier 2,Supermarket Type1,2277.036,Trung bình,Nhẹ
FDS57,15.5,Low Fat,0.103356186,Snack Foods,142.847,OUT013,1987,High,Tier 3,Supermarket Type1,1574.617,Trung bình,Trung bình
FDH56,9.8,Regular,0.106816919,Fruits and Vegetables,114.2492,OUT010,1998,,Tier 3,Grocery Store,463.3968,Trung bình,Nhẹ
FDO16,5.48,Low Fat,0.015138834,Frozen Foods,81.925,OUT045,2002,,Tier 2,Supermarket Type1,3079.325,Rẻ,Nhẹ
FDB47,8.8,Low Fat,0.071540443,Snack Foods,210.6612,OUT049,1999,Medium,Tier 1,Supermarket Type1,2508.7344,Đắt,Nhẹ
DRG49,7.81,Low Fat,0.067730081,Soft Drinks,242.6486,OUT018,2009,Medium,Tier 3,Supermarket Type2,2199.1374,Đắt,Nhẹ
FDB53,13.35,Low Fat,0.139669224,Frozen Foods,147.6392,OUT049,1999,Medium,Tier 1,Supermarket Type1,1938.8096,Trung bình,Trung bình
NCV29,11.8,LF,0.022824491,Health and Hygiene,177.0686,OUT013,1987,High,Tier 3,Supermarket Type1,3022.0662,Trung bình,Trung bình
NCO14,,Low Fat,0.029500321,Household,46.2086,OUT027,1985,Medium,Tier 3,Supermarket Type3,802.9548,Rẻ,
FDI32,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,OUT010,1998,,Tier 3,Grocery Store,345.5502,Trung bình,Trung bình
FDS56,5.785,Regular,0.038756864,Fruits and Vegetables,260.7252,OUT046,1997,Small,Tier 1,Supermarket Type1,6033.4796,Đắt,Nhẹ
FDL33,7.235,Low Fat,0.099962524,Snack Foods,193.8452,OUT046,1997,Small,Tier 1,Supermarket Type1,1957.452,Trung bình,Nhẹ
NCE30,,Low Fat,0.173574402,Household,214.0902,OUT019,1985,Small,Tier 1,Grocery Store,1061.951,Đắt,
NCO06,19.25,Low Fat,0.180820798,Household,35.9558,OUT010,1998,,Tier 3,Grocery Store,67.9116,Rẻ,Trung bình
FDZ33,10.195,Low Fat,0.108004532,Snack Foods,148.7076,OUT017,2007,,Tier 2,Supermarket Type1,1330.2684,Trung bình,Trung bình
DRE49,20.75,Low Fat,0.021336565,Soft Drinks,153.6024,OUT018,2009,Medium,Tier 3,Supermarket Type2,1366.2216,Trung bình,Nặng
FDE59,12.15,Low Fat,0.06227604,Starchy Foods,37.9532,OUT035,2004,Small,Tier 2,Supermarket Type1,1078.596,Rẻ,Trung bình
FDR32,,Regular,0.085392428,Fruits and Vegetables,226.7694,OUT027,1985,Medium,Tier 3,Supermarket Type3,6165.9738,Đắt,
FDE11,17.7,Regular,0.135306012,Starchy Foods,183.7924,OUT049,1999,Medium,Tier 1,Supermarket Type1,2221.1088,Trung bình,Trung bình
NCS06,7.935,Low Fat,0.031866022,Household,261.291,OUT018,2009,Medium,Tier 3,Supermarket Type2,2892.901,Đắt,Nhẹ
FDG20,15.5,Regular,0.210375806,Fruits and Vegetables,178.2028,OUT010,1998,,Tier 3,Grocery Store,177.1028,Trung bình,Trung bình
FDA02,14.0,Regular,0.02976887,Dairy,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1300.3074,Trung bình,Trung bình
FDB04,11.35,Regular,0.06321435,Dairy,88.3856,OUT035,2004,Small,Tier 2,Supermarket Type1,1318.284,Rẻ,Trung bình
FDA33,6.48,LF,0.033952603,Snack Foods,148.2076,OUT049,1999,Medium,Tier 1,Supermarket Type1,3399.5748,Trung bình,Nhẹ
NCM07,9.395,Low Fat,0.039954281,Others,82.4908,OUT035,2004,Small,Tier 2,Supermarket Type1,2013.3792,Rẻ,Nhẹ
FDP25,15.2,Low Fat,0.021327477,Canned,216.8824,OUT017,2007,,Tier 2,Supermarket Type1,2838.9712,Đắt,Trung bình
FDR10,17.6,Low Fat,0.010055503,Snack Foods,163.7552,OUT049,1999,Medium,Tier 1,Supermarket Type1,1787.0072,Trung bình,Trung bình
FDI57,19.85,Low Fat,0.053980686,Seafood,196.8768,OUT013,1987,High,Tier 3,Supermarket Type1,2561.9984,Trung bình,Trung bình
FDN49,17.25,Regular,0.125224466,Breakfast,41.248,OUT046,1997,Small,Tier 1,Supermarket Type1,679.116,Rẻ,Trung bình
FDE17,20.1,Regular,0.054445198,Frozen Foods,151.7366,OUT035,2004,Small,Tier 2,Supermarket Type1,4836.3712,Trung bình,Nặng
FDO11,8.0,Regular,0.030311951,Breads,247.4092,OUT049,1999,Medium,Tier 1,Supermarket Type1,6972.2576,Đắt,Nhẹ
FDW45,18.0,Low Fat,0.039071642,Snack Foods,145.3418,OUT049,1999,Medium,Tier 1,Supermarket Type1,882.8508,Trung bình,Trung bình
FDS32,,Regular,0.029510313,Fruits and Vegetables,141.9838,OUT027,1985,Medium,Tier 3,Supermarket Type3,4354.9978,Trung bình,
FDK45,11.65,Low Fat,0.033851785,Seafood,112.186,OUT035,2004,Small,Tier 2,Supermarket Type1,1018.674,Trung bình,Trung bình
NCM06,7.475,LF,0.075881475,Household,155.2656,OUT045,2002,,Tier 2,Supermarket Type1,2934.8464,Trung bình,Nhẹ
FDZ15,13.1,Low Fat,0.020853376,Dairy,117.4782,OUT013,1987,High,Tier 3,Supermarket Type1,1906.8512,Trung bình,Trung bình
FDS13,6.465,Low Fat,0.124758619,Canned,264.1884,OUT045,2002,,Tier 2,Supermarket Type1,3444.8492,Đắt,Nhẹ
NCL05,,Low Fat,0.083862625,Health and Hygiene,44.077,OUT019,1985,Small,Tier 1,Grocery Store,216.385,Rẻ,
NCJ54,9.895,Low Fat,0.060188932,Household,233.0642,OUT045,2002,,Tier 2,Supermarket Type1,6041.4692,Đắt,Nhẹ
FDN34,15.6,Regular,0.046023105,Snack Foods,169.2132,OUT017,2007,,Tier 2,Supermarket Type1,2536.698,Trung bình,Trung bình
NCK53,11.6,Low Fat,0.062903297,Health and Hygiene,100.4042,OUT010,1998,,Tier 3,Grocery Store,595.2252,Trung bình,Trung bình
FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.3964,Trung bình,Trung bình
FDO22,13.5,Regular,0.017887238,Snack Foods,79.496,OUT049,1999,Medium,Tier 1,Supermarket Type1,1438.128,Rẻ,Trung bình
FDI33,16.5,Low Fat,0.028395167,Snack Foods,91.7146,OUT013,1987,High,Tier 3,Supermarket Type1,2462.7942,Rẻ,Trung bình
FDL14,8.115,reg,0.032152786,Canned,157.3972,OUT035,2004,Small,Tier 2,Supermarket Type1,1869.5664,Trung bình,Nhẹ
FDB04,11.35,Regular,0.063226306,Dairy,87.9856,OUT046,1997,Small,Tier 1,Supermarket Type1,1494.0552,Rẻ,Trung bình
FDX55,15.1,low fat,0.0552059,Fruits and Vegetables,219.4166,OUT046,1997,Small,Tier 1,Supermarket Type1,6096.0648,Đắt,Trung bình
NCM18,13.0,LF,0.083009876,Household,61.1194,OUT045,2002,,Tier 2,Supermarket Type1,2352.9372,Rẻ,Trung bình
FDT25,7.5,Low Fat,0.05074138,Canned,123.2072,OUT035,2004,Small,Tier 2,Supermarket Type1,1837.608,Trung bình,Nhẹ
FDK33,,Low Fat,0.019671473,Snack Foods,214.756,OUT019,1985,Small,Tier 1,Grocery Store,213.056,Đắt,
FDQ14,,low fat,0.10818157,Dairy,149.605,OUT019,1985,Small,Tier 1,Grocery Store,449.415,Trung bình,
FDD52,18.25,Regular,0.183142346,Dairy,110.357,OUT013,1987,High,Tier 3,Supermarket Type1,2087.283,Trung bình,Trung bình
NCC42,15.0,Low Fat,0.044908404,Health and Hygiene,140.2838,OUT046,1997,Small,Tier 1,Supermarket Type1,1404.838,Trung bình,Trung bình
FDY47,8.6,Regular,0.054474158,Breads,131.031,OUT035,2004,Small,Tier 2,Supermarket Type1,1038.648,Trung bình,Nhẹ
FDO13,,Low Fat,0.106907604,Breakfast,162.8526,OUT019,1985,Small,Tier 1,Grocery Store,493.3578,Trung bình,
DRO59,,Low Fat,0.094817105,Hard Drinks,77.9012,OUT019,1985,Small,Tier 1,Grocery Store,75.9012,Rẻ,
FDT31,19.75,Low Fat,0.012437935,Fruits and Vegetables,189.9872,OUT013,1987,High,Tier 3,Supermarket Type1,3781.744,Trung bình,Trung bình
FDP52,18.7,Regular,0.070979698,Frozen Foods,229.501,OUT018,2009,Medium,Tier 3,Supermarket Type2,1607.907,Đắt,Trung bình
FDX19,19.1,Low Fat,0.096715523,Fruits and Vegetables,235.0958,OUT035,2004,Small,Tier 2,Supermarket Type1,3038.0454,Đắt,Trung bình
NCY05,13.5,LF,0.055301055,Health and Hygiene,34.6874,OUT017,2007,,Tier 2,Supermarket Type1,317.5866,Rẻ,Trung bình
FDS48,,Low Fat,0.027644732,Baking Goods,149.4708,OUT027,1985,Medium,Tier 3,Supermarket Type3,3159.8868,Trung bình,
NCS30,5.945,Low Fat,0.0,Household,128.9652,OUT017,2007,,Tier 2,Supermarket Type1,1808.3128,Trung bình,Nhẹ
FDU39,18.85,LF,0.036037952,Meat,58.4562,OUT046,1997,Small,Tier 1,Supermarket Type1,711.0744,Rẻ,Trung bình
FDF41,,Low Fat,0.130544568,Frozen Foods,248.046,OUT027,1985,Medium,Tier 3,Supermarket Type3,7883.072,Đắt,
NCC07,19.6,Low Fat,0.023988387,Household,104.5964,OUT049,1999,Medium,Tier 1,Supermarket Type1,1262.3568,Trung bình,Trung bình
FDF24,15.5,Regular,0.042464962,Baking Goods,81.5934,OUT010,1998,,Tier 3,Grocery Store,327.5736,Rẻ,Trung bình
FDW40,14.0,Regular,0.105573769,Frozen Foods,143.9812,OUT018,2009,Medium,Tier 3,Supermarket Type2,1139.8496,Trung bình,Trung bình
NCE18,10.0,Low Fat,0.021425341,Household,250.175,OUT046,1997,Small,Tier 1,Supermarket Type1,2996.1,Đắt,Nhẹ
NCZ06,,Low Fat,0.09370568,Household,253.8698,OUT027,1985,Medium,Tier 3,Supermarket Type3,3297.7074,Đắt,
DRP47,15.75,Low Fat,0.141398626,Hard Drinks,250.5382,OUT017,2007,,Tier 2,Supermarket Type1,2775.7202,Đắt,Trung bình
NCG30,20.2,LF,0.112321218,Household,123.6046,OUT046,1997,Small,Tier 1,Supermarket Type1,2988.1104,Trung bình,Nặng
FDR49,8.71,Low Fat,0.139228412,Canned,49.5376,OUT046,1997,Small,Tier 1,Supermarket Type1,1198.44,Rẻ,Nhẹ
DRJ13,12.65,Low Fat,0.105265475,Soft Drinks,159.9578,OUT010,1998,,Tier 3,Grocery Store,962.7468,Trung bình,Trung bình
FDW48,18.0,Low Fat,0.008554102,Baking Goods,79.3618,OUT049,1999,Medium,Tier 1,Supermarket Type1,805.618,Rẻ,Trung bình
FDT34,9.3,Low Fat,0.175060504,Snack Foods,106.7964,OUT018,2009,Medium,Tier 3,Supermarket Type2,525.982,Trung bình,Nhẹ
NCA17,20.6,Low Fat,0.04551031,Health and Hygiene,149.6392,OUT045,2002,,Tier 2,Supermarket Type1,894.8352,Trung bình,Nặng
FDG59,15.85,Low Fat,0.043322254,Starchy Foods,39.6164,OUT045,2002,,Tier 2,Supermarket Type1,1004.0264,Rẻ,Trung bình
FDS35,9.3,Low Fat,0.11144608,Breads,64.6826,OUT045,2002,,Tier 2,Supermarket Type1,1097.9042,Rẻ,Nhẹ
NCV06,,Low Fat,0.066358426,Household,195.2478,OUT027,1985,Medium,Tier 3,Supermarket Type3,7168.6686,Trung bình,
FDQ26,13.5,Regular,0.068256316,Dairy,60.9562,OUT017,2007,,Tier 2,Supermarket Type1,533.3058,Rẻ,Trung bình
FDL52,6.635,Regular,0.046350909,Frozen Foods,37.4506,OUT017,2007,,Tier 2,Supermarket Type1,1176.4686,Rẻ,Nhẹ
FDT50,6.75,Regular,0.108679906,Dairy,95.6752,OUT018,2009,Medium,Tier 3,Supermarket Type2,1246.3776,Rẻ,Nhẹ
FDI53,8.895,Regular,0.13842353,Frozen Foods,163.0236,OUT017,2007,,Tier 2,Supermarket Type1,1127.8652,Trung bình,Nhẹ
